cuisine,diet,name,cooking time,ingredients,allergens,recipe
Mediterranean,Non-Vegetarian,Easy Beef Pilaf ,1 hr 22 min,"Beef, Cheese, Black pepper, Salt",Milk,"Step 1: Marinate the Beef with salt, pepper, and spices. Step 2: Heat oil in a pan and bake the Beef until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a pilaf."
Caribbean,Vegetarian,Honey Pumpkin Frittata ,29 min,"Pumpkin, Black pepper, Olive oil, Sugar, Milk, Coriander, Vinegar",Milk,"Step 1: Chop the vegetables and prepare the Pumpkin. Step 2: Heat oil in a pan and roast onion, garlic, and spices. Step 3: Add Pumpkin and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a frittata."
Turkish,Non-Vegetarian,Coconut Fish Stew ,1 hr 18 min,"Fish, Milk, Flour, Cheese","Milk, Gluten, Seafood","Step 1: Marinate the Fish with salt, pepper, and spices. Step 2: Heat oil in a pan and braise the Fish until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a stew."
Moroccan,Vegan,Light Eggplant Risotto ,1 hr 18 min,"Eggplant, Herbs, Flour","Gluten, Eggs","Step 1: Chop the vegetables and prepare the Eggplant. Step 2: Heat oil in a pan and bake onion, garlic, and spices. Step 3: Add Eggplant and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a risotto."
Caribbean,Vegan,Hearty Black beans Sandwich ,33 min,"Black beans, Soy sauce, Chili",Soy,"Step 1: Chop the vegetables and prepare the Black beans. Step 2: Heat oil in a pan and grill onion, garlic, and spices. Step 3: Add Black beans and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a sandwich."
Chinese,Vegan,Smoky Sweet potato Skewers ,1 hr 31 min,"Sweet potato, Chili, Olive oil, Vinegar",,"Step 1: Chop the vegetables and prepare the Sweet potato. Step 2: Heat oil in a pan and bake onion, garlic, and spices. Step 3: Add Sweet potato and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a skewers."
Indian,Non-Vegetarian,Tangy Pork Skewers ,1 hr 55 min,"Pork, Flour, Tomato, Cheese, Yogurt, Honey, Vinegar","Milk, Gluten, Honey","Step 1: Marinate the Pork with salt, pepper, and spices. Step 2: Heat oil in a pan and steam the Pork until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a skewers."
Greek,Vegetarian,Creamy Pumpkin Kebab ,1 hr 15 min,"Pumpkin, Paprika, Lemon, Chili, Cheese, Onion, Soy sauce, Herbs","Milk, Soy","Step 1: Chop the vegetables and prepare the Pumpkin. Step 2: Heat oil in a pan and grill onion, garlic, and spices. Step 3: Add Pumpkin and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a kebab."
Lebanese,Non-Vegetarian,Savory Tuna Skewers ,1 hr 40 min,"Tuna, Yogurt, Lemon, Milk","Milk, Seafood","Step 1: Marinate the Tuna with salt, pepper, and spices. Step 2: Heat oil in a pan and roast the Tuna until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a skewers."
Turkish,Vegan,Peanut Cauliflower Rice Bowl ,43 min,"Cauliflower, Ginger, Salt, Tomato, Soy sauce",Soy,"Step 1: Chop the vegetables and prepare the Cauliflower. Step 2: Heat oil in a pan and steam onion, garlic, and spices. Step 3: Add Cauliflower and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a rice bowl."
Mediterranean,Vegan,Coconut Chickpeas Sandwich ,56 min,"Chickpeas, Garlic, Black pepper, Lemon",,"Step 1: Chop the vegetables and prepare the Chickpeas. Step 2: Heat oil in a pan and simmer onion, garlic, and spices. Step 3: Add Chickpeas and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a sandwich."
Turkish,Vegan,Zesty Mushroom Stew ,1 hr 16 min,"Mushroom, Black pepper, Flour",Gluten,"Step 1: Chop the vegetables and prepare the Mushroom. Step 2: Heat oil in a pan and saute onion, garlic, and spices. Step 3: Add Mushroom and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a stew."
Moroccan,Non-Vegetarian,Simple Mutton Curry ,1 hr 55 min,"Mutton, Lemon, Coriander, Onion, Ginger, Honey, Soy sauce, Cheese","Milk, Soy, Honey","Step 1: Marinate the Mutton with salt, pepper, and spices. Step 2: Heat oil in a pan and steam the Mutton until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a curry."
French,Vegetarian,Simple Chickpeas Skewers ,1 hr 4 min,"Chickpeas, Honey, Soy sauce, Paprika, Cumin, Tomato, Onion, Lemon","Soy, Honey","Step 1: Chop the vegetables and prepare the Chickpeas. Step 2: Heat oil in a pan and bake onion, garlic, and spices. Step 3: Add Chickpeas and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a skewers."
Italian,Vegetarian,Simple Quinoa Soup ,34 min,"Quinoa, Milk, Cumin, Honey, Flour, Onion, Yogurt, Coriander","Milk, Gluten, Honey","Step 1: Chop the vegetables and prepare the Quinoa. Step 2: Heat oil in a pan and bake onion, garlic, and spices. Step 3: Add Quinoa and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a soup."
Indian,Vegetarian,Simple Kidney beans Stir-fry ,34 min,"Kidney beans, Herbs, Lemon, Cumin, Sugar, Garlic, Ginger",,"Step 1: Chop the vegetables and prepare the Kidney beans. Step 2: Heat oil in a pan and steam onion, garlic, and spices. Step 3: Add Kidney beans and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a stir-fry."
Brazilian,Vegetarian,Zesty Pumpkin Soup ,1 hr 34 min,"Pumpkin, Cumin, Butter, Coriander, Cheese, Yogurt, Vinegar",Milk,"Step 1: Chop the vegetables and prepare the Pumpkin. Step 2: Heat oil in a pan and steam onion, garlic, and spices. Step 3: Add Pumpkin and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a soup."
Vietnamese,Vegan,Light Spinach Stew ,20 min,"Spinach, Vinegar, Onion, Soy sauce, Lemon",Soy,"Step 1: Chop the vegetables and prepare the Spinach. Step 2: Heat oil in a pan and braise onion, garlic, and spices. Step 3: Add Spinach and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a stew."
Spanish,Vegan,Herbed Spinach Pasta ,1 hr 58 min,"Spinach, Chili, Paprika, Black pepper",,"Step 1: Chop the vegetables and prepare the Spinach. Step 2: Heat oil in a pan and roast onion, garlic, and spices. Step 3: Add Spinach and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a pasta."
Italian,Vegan,Smoky Tomato Pasta ,28 min,"Tomato, Sugar, Paprika, Vinegar, Garlic, Onion",,"Step 1: Chop the vegetables and prepare the Tomato. Step 2: Heat oil in a pan and blanch onion, garlic, and spices. Step 3: Add Tomato and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a pasta."
Chinese,Vegetarian,Hearty Bell pepper Kebab ,53 min,"Bell pepper, Coriander, Cheese, Honey","Milk, Honey","Step 1: Chop the vegetables and prepare the Bell pepper. Step 2: Heat oil in a pan and stir-fry onion, garlic, and spices. Step 3: Add Bell pepper and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a kebab."
Lebanese,Non-Vegetarian,Minty Fish Curry ,32 min,"Fish, Honey, Cheese, Milk, Lemon, Tomato, Herbs","Milk, Seafood, Honey","Step 1: Marinate the Fish with salt, pepper, and spices. Step 2: Heat oil in a pan and steam the Fish until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a curry."
American,Vegetarian,Crispy Bell pepper Wrap ,1 hr 27 min,"Bell pepper, Chili, Honey, Sugar, Soy sauce, Nuts, Milk, Herbs","Milk, Soy, Nuts, Honey","Step 1: Chop the vegetables and prepare the Bell pepper. Step 2: Heat oil in a pan and stir-fry onion, garlic, and spices. Step 3: Add Bell pepper and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a wrap."
Japanese,Vegan,Savory Chickpeas Burger ,1 hr 19 min,"Chickpeas, Tomato, Cumin",,"Step 1: Chop the vegetables and prepare the Chickpeas. Step 2: Heat oil in a pan and blanch onion, garlic, and spices. Step 3: Add Chickpeas and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a burger."
American,Vegan,Quick Cauliflower Burger ,48 min,"Cauliflower, Olive oil, Chili, Onion",,"Step 1: Chop the vegetables and prepare the Cauliflower. Step 2: Heat oil in a pan and roast onion, garlic, and spices. Step 3: Add Cauliflower and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a burger."
Japanese,Vegan,Honey Cauliflower Skewers ,1 hr 45 min,"Cauliflower, Soy sauce, Garlic, Chili",Soy,"Step 1: Chop the vegetables and prepare the Cauliflower. Step 2: Heat oil in a pan and stir-fry onion, garlic, and spices. Step 3: Add Cauliflower and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a skewers."
Brazilian,Non-Vegetarian,Savory Salmon Fritters ,20 min,"Salmon, Garlic, Vinegar, Flour, Onion, Paprika, Milk, Lemon","Milk, Gluten, Seafood","Step 1: Marinate the Salmon with salt, pepper, and spices. Step 2: Heat oil in a pan and simmer the Salmon until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a fritters."
American,Vegetarian,Warm Quinoa Sandwich ,1 hr 18 min,"Quinoa, Lemon, Chili, Nuts",Nuts,"Step 1: Chop the vegetables and prepare the Quinoa. Step 2: Heat oil in a pan and steam onion, garlic, and spices. Step 3: Add Quinoa and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a sandwich."
Korean,Vegetarian,Tangy Quinoa Fritters ,1 hr 9 min,"Quinoa, Herbs, Garlic, Honey, Chili",Honey,"Step 1: Chop the vegetables and prepare the Quinoa. Step 2: Heat oil in a pan and stir-fry onion, garlic, and spices. Step 3: Add Quinoa and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a fritters."
Chinese,Vegan,Herbed Spinach Tacos ,32 min,"Spinach, Black pepper, Ginger, Nuts, Onion, Paprika",Nuts,"Step 1: Chop the vegetables and prepare the Spinach. Step 2: Heat oil in a pan and roast onion, garlic, and spices. Step 3: Add Spinach and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a tacos."
Lebanese,Non-Vegetarian,Savory Pork Fritters ,24 min,"Pork, Sugar, Coriander, Nuts",Nuts,"Step 1: Marinate the Pork with salt, pepper, and spices. Step 2: Heat oil in a pan and saute the Pork until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a fritters."
French,Vegan,Zesty Black beans Stew ,1 hr 50 min,"Black beans, Flour, Sugar, Olive oil, Chili, Herbs, Black pepper",Gluten,"Step 1: Chop the vegetables and prepare the Black beans. Step 2: Heat oil in a pan and bake onion, garlic, and spices. Step 3: Add Black beans and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a stew."
Peruvian,Vegetarian,Zesty Potato Pasta ,55 min,"Potato, Black pepper, Sugar, Nuts",Nuts,"Step 1: Chop the vegetables and prepare the Potato. Step 2: Heat oil in a pan and stir-fry onion, garlic, and spices. Step 3: Add Potato and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a pasta."
Chinese,Non-Vegetarian,Tangy Beef Rice Bowl ,1 hr 12 min,"Beef, Coriander, Yogurt, Black pepper",Milk,"Step 1: Marinate the Beef with salt, pepper, and spices. Step 2: Heat oil in a pan and blanch the Beef until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a rice bowl."
Moroccan,Non-Vegetarian,Smoky Beef Soup ,43 min,"Beef, Paprika, Cumin, Ginger, Black pepper, Butter, Yogurt",Milk,"Step 1: Marinate the Beef with salt, pepper, and spices. Step 2: Heat oil in a pan and blanch the Beef until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a soup."
Chinese,Vegetarian,Coconut Cauliflower Risotto ,1 hr 48 min,"Cauliflower, Salt, Vinegar, Sugar, Honey",Honey,"Step 1: Chop the vegetables and prepare the Cauliflower. Step 2: Heat oil in a pan and saute onion, garlic, and spices. Step 3: Add Cauliflower and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a risotto."
Chinese,Non-Vegetarian,Light Turkey Pilaf ,1 hr 41 min,"Turkey, Milk, Cheese, Soy sauce, Black pepper, Sugar, Yogurt","Milk, Soy","Step 1: Marinate the Turkey with salt, pepper, and spices. Step 2: Heat oil in a pan and blanch the Turkey until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a pilaf."
Chinese,Vegetarian,Light Tofu Burger ,1 hr 16 min,"Tofu, Lemon, Vinegar, Chili, Paprika, Sugar, Flour, Milk","Milk, Soy, Gluten","Step 1: Chop the vegetables and prepare the Tofu. Step 2: Heat oil in a pan and roast onion, garlic, and spices. Step 3: Add Tofu and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a burger."
Ethiopian,Vegetarian,Minty Bell pepper Pizza ,1 hr 19 min,"Bell pepper, Coriander, Olive oil, Salt, Honey, Paprika, Cumin",Honey,"Step 1: Chop the vegetables and prepare the Bell pepper. Step 2: Heat oil in a pan and boil onion, garlic, and spices. Step 3: Add Bell pepper and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a pizza."
French,Vegetarian,Peanut Paneer Salad ,47 min,"Paneer, Paprika, Flour, Sugar, Soy sauce","Milk, Soy, Gluten","Step 1: Chop the vegetables and prepare the Paneer. Step 2: Heat oil in a pan and bake onion, garlic, and spices. Step 3: Add Paneer and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a salad."
Indian,Vegetarian,Quick Paneer Tacos ,22 min,"Paneer, Garlic, Flour, Butter, Tomato, Milk","Milk, Gluten","Step 1: Chop the vegetables and prepare the Paneer. Step 2: Heat oil in a pan and blanch onion, garlic, and spices. Step 3: Add Paneer and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a tacos."
Greek,Vegetarian,Savory Quinoa Pilaf ,1 hr 8 min,"Quinoa, Coriander, Flour, Cheese, Chili","Milk, Gluten","Step 1: Chop the vegetables and prepare the Quinoa. Step 2: Heat oil in a pan and simmer onion, garlic, and spices. Step 3: Add Quinoa and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a pilaf."
Caribbean,Vegan,Honey Broccoli Fritters ,37 min,"Broccoli, Nuts, Salt, Black pepper",Nuts,"Step 1: Chop the vegetables and prepare the Broccoli. Step 2: Heat oil in a pan and stir-fry onion, garlic, and spices. Step 3: Add Broccoli and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a fritters."
Korean,Vegetarian,Smoky Bell pepper Pilaf ,1 hr 34 min,"Bell pepper, Garlic, Vinegar, Honey, Coriander",Honey,"Step 1: Chop the vegetables and prepare the Bell pepper. Step 2: Heat oil in a pan and saute onion, garlic, and spices. Step 3: Add Bell pepper and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a pilaf."
Thai,Vegetarian,Honey Broccoli Rice Bowl ,1 hr 44 min,"Broccoli, Milk, Honey, Tomato, Butter","Milk, Honey","Step 1: Chop the vegetables and prepare the Broccoli. Step 2: Heat oil in a pan and grill onion, garlic, and spices. Step 3: Add Broccoli and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a rice bowl."
Mediterranean,Vegetarian,Tangy Tofu Fritters ,1 hr 19 min,"Tofu, Olive oil, Chili, Paprika, Soy sauce, Honey, Tomato","Soy, Honey","Step 1: Chop the vegetables and prepare the Tofu. Step 2: Heat oil in a pan and grill onion, garlic, and spices. Step 3: Add Tofu and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a fritters."
Caribbean,Vegetarian,Crispy Tofu Risotto ,10 min,"Tofu, Yogurt, Ginger, Soy sauce, Salt","Milk, Soy","Step 1: Chop the vegetables and prepare the Tofu. Step 2: Heat oil in a pan and bake onion, garlic, and spices. Step 3: Add Tofu and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a risotto."
Caribbean,Vegan,Smoky Chickpeas Curry ,14 min,"Chickpeas, Garlic, Ginger, Soy sauce, Nuts","Soy, Nuts","Step 1: Chop the vegetables and prepare the Chickpeas. Step 2: Heat oil in a pan and steam onion, garlic, and spices. Step 3: Add Chickpeas and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a curry."
Vietnamese,Vegetarian,Crispy Chickpeas Fritters ,38 min,"Chickpeas, Herbs, Coriander, Butter, Sugar, Onion",Milk,"Step 1: Chop the vegetables and prepare the Chickpeas. Step 2: Heat oil in a pan and blanch onion, garlic, and spices. Step 3: Add Chickpeas and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a fritters."
Lebanese,Non-Vegetarian,Minty Lamb Rice Bowl ,19 min,"Lamb, Soy sauce, Cheese, Black pepper","Milk, Soy","Step 1: Marinate the Lamb with salt, pepper, and spices. Step 2: Heat oil in a pan and stir-fry the Lamb until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a rice bowl."
Greek,Non-Vegetarian,Hearty Beef Kebab ,30 min,"Beef, Chili, Yogurt, Olive oil, Cumin",Milk,"Step 1: Marinate the Beef with salt, pepper, and spices. Step 2: Heat oil in a pan and roast the Beef until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a kebab."
Brazilian,Non-Vegetarian,Coconut Tuna Pizza ,30 min,"Tuna, Flour, Paprika, Nuts, Herbs, Honey, Yogurt, Ginger","Milk, Nuts, Gluten, Seafood, Honey","Step 1: Marinate the Tuna with salt, pepper, and spices. Step 2: Heat oil in a pan and boil the Tuna until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a pizza."
Indian,Vegan,Crispy Eggplant Risotto ,1 hr 17 min,"Eggplant, Chili, Tomato, Vinegar, Onion",Eggs,"Step 1: Chop the vegetables and prepare the Eggplant. Step 2: Heat oil in a pan and steam onion, garlic, and spices. Step 3: Add Eggplant and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a risotto."
Spanish,Vegan,Zesty Pumpkin Frittata ,16 min,"Pumpkin, Vinegar, Sugar, Soy sauce",Soy,"Step 1: Chop the vegetables and prepare the Pumpkin. Step 2: Heat oil in a pan and stir-fry onion, garlic, and spices. Step 3: Add Pumpkin and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a frittata."
Lebanese,Vegan,Easy Spinach Stew ,2 hr,"Spinach, Garlic, Sugar, Onion, Cumin",,"Step 1: Chop the vegetables and prepare the Spinach. Step 2: Heat oil in a pan and pan-fry onion, garlic, and spices. Step 3: Add Spinach and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a stew."
Vietnamese,Non-Vegetarian,Savory Chicken Sandwich ,47 min,"Chicken, Vinegar, Olive oil, Lemon, Paprika, Sugar",,"Step 1: Marinate the Chicken with salt, pepper, and spices. Step 2: Heat oil in a pan and bake the Chicken until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a sandwich."
Peruvian,Vegetarian,Tangy Broccoli Rice Bowl ,29 min,"Broccoli, Olive oil, Sugar, Vinegar, Onion, Garlic, Nuts",Nuts,"Step 1: Chop the vegetables and prepare the Broccoli. Step 2: Heat oil in a pan and boil onion, garlic, and spices. Step 3: Add Broccoli and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a rice bowl."
Thai,Vegetarian,Warm Paneer Wrap ,59 min,"Paneer, Flour, Sugar, Ginger, Nuts, Milk, Vinegar","Milk, Nuts, Gluten","Step 1: Chop the vegetables and prepare the Paneer. Step 2: Heat oil in a pan and steam onion, garlic, and spices. Step 3: Add Paneer and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a wrap."
Ethiopian,Vegan,Peanut Lentils Pasta ,1 hr 26 min,"Lentils, Herbs, Paprika, Lemon, Garlic, Ginger",,"Step 1: Chop the vegetables and prepare the Lentils. Step 2: Heat oil in a pan and steam onion, garlic, and spices. Step 3: Add Lentils and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a pasta."
Lebanese,Non-Vegetarian,Light Fish Stir-fry ,21 min,"Fish, Flour, Lemon, Paprika","Gluten, Seafood","Step 1: Marinate the Fish with salt, pepper, and spices. Step 2: Heat oil in a pan and stir-fry the Fish until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a stir-fry."
Thai,Vegan,Zesty Quinoa Pizza ,1 hr 50 min,"Quinoa, Paprika, Nuts, Salt",Nuts,"Step 1: Chop the vegetables and prepare the Quinoa. Step 2: Heat oil in a pan and pan-fry onion, garlic, and spices. Step 3: Add Quinoa and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a pizza."
Japanese,Vegetarian,Savory Bell pepper Curry ,1 hr 16 min,"Bell pepper, Olive oil, Coriander, Lemon",,"Step 1: Chop the vegetables and prepare the Bell pepper. Step 2: Heat oil in a pan and pan-fry onion, garlic, and spices. Step 3: Add Bell pepper and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a curry."
Turkish,Vegetarian,Lemony Kidney beans Rice Bowl ,1 hr 10 min,"Kidney beans, Soy sauce, Coriander, Tomato, Nuts","Soy, Nuts","Step 1: Chop the vegetables and prepare the Kidney beans. Step 2: Heat oil in a pan and grill onion, garlic, and spices. Step 3: Add Kidney beans and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a rice bowl."
Mediterranean,Vegetarian,Minty Pumpkin Skewers ,1 hr 34 min,"Pumpkin, Milk, Cheese, Tomato",Milk,"Step 1: Chop the vegetables and prepare the Pumpkin. Step 2: Heat oil in a pan and steam onion, garlic, and spices. Step 3: Add Pumpkin and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a skewers."
Chinese,Non-Vegetarian,Easy Turkey Sandwich ,14 min,"Turkey, Yogurt, Sugar, Cumin, Cheese",Milk,"Step 1: Marinate the Turkey with salt, pepper, and spices. Step 2: Heat oil in a pan and grill the Turkey until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a sandwich."
Caribbean,Non-Vegetarian,Honey Lamb Casserole ,24 min,"Lamb, Lemon, Milk, Cumin, Herbs",Milk,"Step 1: Marinate the Lamb with salt, pepper, and spices. Step 2: Heat oil in a pan and grill the Lamb until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a casserole."
Spanish,Vegetarian,Tangy Lentils Salad ,58 min,"Lentils, Tomato, Ginger, Lemon, Milk, Paprika",Milk,"Step 1: Chop the vegetables and prepare the Lentils. Step 2: Heat oil in a pan and blanch onion, garlic, and spices. Step 3: Add Lentils and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a salad."
Italian,Vegan,Smoky Tomato Pilaf ,39 min,"Tomato, Herbs, Soy sauce, Garlic, Onion, Nuts","Soy, Nuts","Step 1: Chop the vegetables and prepare the Tomato. Step 2: Heat oil in a pan and grill onion, garlic, and spices. Step 3: Add Tomato and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a pilaf."
Lebanese,Vegan,Quick Cauliflower Risotto ,35 min,"Cauliflower, Chili, Sugar, Vinegar",,"Step 1: Chop the vegetables and prepare the Cauliflower. Step 2: Heat oil in a pan and bake onion, garlic, and spices. Step 3: Add Cauliflower and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a risotto."
Korean,Vegan,Simple Tomato Pizza ,1 hr 18 min,"Tomato, Vinegar, Cumin, Salt",,"Step 1: Chop the vegetables and prepare the Tomato. Step 2: Heat oil in a pan and grill onion, garlic, and spices. Step 3: Add Tomato and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a pizza."
Peruvian,Vegan,Savory Pumpkin Rice Bowl ,41 min,"Pumpkin, Black pepper",,"Step 1: Chop the vegetables and prepare the Pumpkin. Step 2: Heat oil in a pan and roast onion, garlic, and spices. Step 3: Add Pumpkin and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a rice bowl."
Chinese,Vegetarian,Tangy Tomato Tacos ,1 hr 53 min,"Tomato, Milk, Sugar, Butter, Vinegar, Honey, Salt","Milk, Honey","Step 1: Chop the vegetables and prepare the Tomato. Step 2: Heat oil in a pan and bake onion, garlic, and spices. Step 3: Add Tomato and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a tacos."
Korean,Vegetarian,Light Zucchini Casserole ,1 hr 14 min,"Zucchini, Paprika, Olive oil, Herbs",,"Step 1: Chop the vegetables and prepare the Zucchini. Step 2: Heat oil in a pan and blanch onion, garlic, and spices. Step 3: Add Zucchini and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a casserole."
Mexican,Vegetarian,Minty Corn Rice Bowl ,1 hr 31 min,"Corn, Herbs, Milk, Sugar, Chili, Paprika",Milk,"Step 1: Chop the vegetables and prepare the Corn. Step 2: Heat oil in a pan and stir-fry onion, garlic, and spices. Step 3: Add Corn and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a rice bowl."
Chinese,Vegan,Herbed Pumpkin Tacos ,45 min,"Pumpkin, Chili, Flour, Garlic, Tomato",Gluten,"Step 1: Chop the vegetables and prepare the Pumpkin. Step 2: Heat oil in a pan and saute onion, garlic, and spices. Step 3: Add Pumpkin and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a tacos."
French,Non-Vegetarian,Simple Shrimp Stir-fry ,1 hr 1 min,"Shrimp, Ginger, Olive oil, Butter, Flour, Lemon, Yogurt","Milk, Gluten, Seafood","Step 1: Marinate the Shrimp with salt, pepper, and spices. Step 2: Heat oil in a pan and steam the Shrimp until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a stir-fry."
Chinese,Vegetarian,Savory Corn Sandwich ,35 min,"Corn, Vinegar, Paprika, Ginger, Flour, Sugar, Onion, Soy sauce","Soy, Gluten","Step 1: Chop the vegetables and prepare the Corn. Step 2: Heat oil in a pan and saute onion, garlic, and spices. Step 3: Add Corn and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a sandwich."
